origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Greater Bendigo,Hume,6,Weekday,Off_Peak,1283,Leichardt,Bendigo Loddon,-36.76027365719228,144.29640191322605,Coolaroo,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,7,Weekend,AM_Peak,345,Golden Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Sunbury,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,7,Weekday,AM_Peak,1352,Elmore,Bendigo Loddon,-36.76027365719228,144.29640191322605,Campbellfield,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,8,Weekday,AM_Peak,1393,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,8,Weekend,AM_Peak,454,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,9,Weekend,AM_Peak,482,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,9,Weekday,AM_Peak,1256,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,10,Weekend,Off_Peak,472,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,10,Weekday,Off_Peak,1366,Eaglehawk,Bendigo Loddon,-36.76027365719228,144.29640191322605,Craigieburn,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,11,Weekday,Off_Peak,819,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,11,Weekend,Off_Peak,290,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,12,Weekday,Off_Peak,619,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,12,Weekend,Off_Peak,212,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,13,Weekday,Off_Peak,252,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
