origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Bayside (Vic.),Wangaratta,Brighton (Vic.),Melbourne,-37.937200247483275,145.01525321339588,Glenrowan,High Country,-36.37370291551564,146.3366016864766,309,243,209.6066709173453,62.13592233009708,9.70873786407767,2.26537216828479,37.86407766990291,5.501618122977346,1.6181229773462782
Gannawarra,Darebin,Cohuna,Mallee,-35.73935184266779,143.98617665366075,Northcote,Melbourne,-37.73856099416225,145.00957747043233,309,192,240.27492898561187,75.40453074433657,13.268608414239482,3.8834951456310676,24.59546925566343,4.854368932038835,0.3236245954692557
Wyndham,Central Goldfields,Point Cook,Melbourne,-37.89016777149549,144.67403984987567,Moolort,Bendigo Loddon,-37.02905323881371,143.74290351092444,308,167,126.18459196131384,81.4935064935065,13.96103896103896,2.5974025974025974,18.506493506493506,3.2467532467532463,0.0
Brimbank,Buloke,Kealba,Melbourne,-37.75022702710584,144.79610934963873,Morton Plains,Wimmera,-36.11992483355926,143.07087986220304,308,78,237.42506486450065,58.76623376623377,15.584415584415584,0.974025974025974,41.23376623376623,3.896103896103896,0.974025974025974
Central Goldfields,Wyndham,Maryborough (Vic.),Bendigo Loddon,-37.02905323881371,143.74290351092444,Tarneit,Melbourne,-37.89016777149549,144.67403984987567,307,162,126.18459196131387,78.82736156351791,10.749185667752444,2.2801302931596092,21.172638436482085,2.2801302931596092,0.0
Ararat,Kingston (Vic.),Ararat,Central Highlands,-37.325550818468905,142.92351607556006,Heatherton,Melbourne,-37.98940103893782,145.09376582138896,307,151,204.80610721284336,76.2214983713355,19.54397394136808,3.257328990228013,23.778501628664493,4.5602605863192185,0.0
Strathbogie,Macedon Ranges,Euroa,Goulburn,-36.784768692435414,145.38652415301266,Gisborne,Macedon,-37.3798361232659,144.5841119093147,307,185,97.18416131413619,72.63843648208469,13.029315960912053,2.2801302931596092,27.36156351791531,10.423452768729643,0.32573289902280134
Knox,Moira,Scoresby,Melbourne,-37.87935573451447,145.24961212130876,Cobram,Central Murray,-36.012756256772704,145.66977243213532,306,185,210.88736764847275,72.87581699346404,9.477124183006536,2.287581699346405,27.124183006535947,4.901960784313726,1.6339869281045754
Mount Alexander,Greater Shepparton,Chewton Bushlands,Bendigo Loddon,-37.05849514622917,144.23676542972527,Tatura,Goulburn,-36.389249928075884,145.38203467053052,306,110,126.31816875964171,70.26143790849673,8.169934640522875,1.6339869281045754,29.73856209150327,6.862745098039216,0.6535947712418301
Ballarat,Murrindindi,Wendouree,Ballarat,-37.561288039129316,143.84125606621114,Strath Creek,High Country,-37.308016639018476,145.55761279358393,306,90,154.13623640476166,70.91503267973856,7.18954248366013,2.287581699346405,29.08496732026144,6.209150326797386,0.32679738562091504
Greater Bendigo,Buloke,Epsom (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Charlton (Vic.),Wimmera,-36.11992483355926,143.07087986220304,306,187,130.71990084138952,74.18300653594771,6.862745098039216,0.9803921568627451,25.816993464052292,1.3071895424836601,0.0
South Gippsland,Maroondah,Nyora (Vic.),Gippsland,-38.51954182157475,145.95260113431974,Croydon (Vic.),Melbourne,-37.80413324409861,145.25924593394433,306,188,100.01365247429136,74.18300653594771,17.320261437908496,1.6339869281045754,25.816993464052292,2.287581699346405,0.6535947712418301
Wyndham,Gannawarra,Tarneit,Melbourne,-37.89016777149549,144.67403984987567,Kerang,Mallee,-35.73935184266779,143.98617665366075,306,120,246.87199702345745,74.83660130718954,13.398692810457517,3.2679738562091507,25.163398692810457,4.901960784313726,0.32679738562091504
Pyrenees,Brimbank,Snake Valley,Ballarat,-37.384342837390406,143.41865683282327,Ardeer,Melbourne,-37.75022702710584,144.79610934963873,305,126,128.03900979876818,70.81967213114754,11.80327868852459,8.19672131147541,29.18032786885246,3.606557377049181,0.0
Wangaratta,Mitchell,Glenrowan,High Country,-36.37370291551564,146.3366016864766,Seymour (Vic.),Goulburn,-37.28867843225204,145.01093817127924,305,256,155.7905237778588,63.60655737704918,4.918032786885246,1.9672131147540985,36.39344262295082,2.2950819672131146,2.2950819672131146
Alpine,Darebin,Tawonga,High Country,-36.690262323461276,146.94768450330668,Northcote,Melbourne,-37.73856099416225,145.00957747043233,305,207,207.45979156255302,71.47540983606558,20.655737704918035,1.3114754098360655,28.524590163934427,5.573770491803279,0.6557377049180327
Strathbogie,Wodonga,Avenel,Goulburn,-36.784768692435414,145.38652415301266,Barnawartha North,Murray East,-36.13000861559989,146.88124164163418,305,257,152.2162572944459,71.80327868852459,4.590163934426229,0.9836065573770493,28.196721311475407,1.3114754098360655,0.6557377049180327
Mornington Peninsula,Moira,Mornington (Vic.),Peninsula,-38.287997170251494,145.02657685054575,Yarrawonga (Vic.),Central Murray,-36.012756256772704,145.66977243213532,305,160,259.3357396923977,60.65573770491803,7.213114754098362,1.639344262295082,39.34426229508197,7.540983606557377,0.9836065573770493
